Rank,City
32,"Albuquerque, NM"
51,"Arlington, TX"
39,"Atlanta , GA"
11,"Austin, TX"
26,"Baltimore, MD"
24,"Boston, MA"
17,"Charlotte, NC"
3,"Chicago, IL"
48,"Cleveland, OH"
41,"Colorado Springs, CO"
15,"Columbus, OH"
9,"Dallas, TX"
21,"Denver , CO"
18,"Detroit, MI"
19,"El Paso, TX"
16,"Fort Worth , TX"
34,"Fresno, CA"
4,"Houston, TX"
14,"Indianapolis, IN"
12,"Jacksonville, FL"
37,"Kansas City, MO"
29,"Las Vegas , NV"
36,"Long Beach, CA"
2,"Los Angeles, CA"
30,"Louisville, KY"
23,"Memphis, TN"
38,"Mesa, AZ"
44,"Miami, FL"
31,"Milwaukee, WI"
46,"Minneapolis, MN"
25,"Nashville, TN"
50,"New Orleans, LA"
1,"New York, NY"
45,"Oakland, CA"
27,"Oklahoma City, OK"
41,"Omaha , NE"
5,"Philadelphia, PA"
6,"Phoenix, AZ"
28,"Portland , OR"
43,"Raleigh, NC"
35,"Sacramento, CA"
7,"San Antonio, TX"
8,"San Diego, CA"
13,"San Francisco , CA"
10,"San Jose, CA"
20,"Seattle , WA"
33,"Tucson, AZ"
47,"Tulsa, OK"
40,"Virginia Beach, VA"
22,"Washington, DC"
49,"Wichita, KS"